BAUM_NR;BAUMART;PFLANZJAHR;STAMM_DM;KRONE_DM;HOEHE;STANDORT;X;Y
00105;Kaiser-Linde;2008;18;3;7;Niendorfer Straße;564409.98;5946602.29
00106;Kaiser-Linde;2008;19;4;6.5;Niendorfer Straße;564400.60;5946624.89
00108;Kaiser-Linde;2008;16;3;6;Niendorfer Straße;564441.89;5946538.11
00109;Kaiser-Linde;2008;13;3;5.5;Niendorfer Straße;564449.45;5946525.04
00112;Kaiser-Linde;2008;20;5;7.5;Niendorfer Straße;564469.97;5946494.54
00113;Kaiser-Linde;1996;18;3;6;Niendorfer Straße;564523.14;5946436.25
00114;Kaiser-Linde;2008;17;3;6.5;Niendorfer Straße;564535.02;5946426.06
00115;Kaiser-Linde;2008;18;4;7;Niendorfer Straße;564547.90;5946415.79
00116;Kaiser-Linde;2008;18;4;7;Niendorfer Straße;564559.77;5946407.07
00117;Kaiser-Linde;2008;17;5;8;Niendorfer Straße;564575.25;5946396.61
00118;Kaiser-Linde;2008;21;4;7;Niendorfer Straße;564588.51;5946388.37
00123;Stiel-Eiche, Sommer-Eiche;1946;57;13;21;Schwarzer Weg;564356.85;5947624.20
00125;Stiel-Eiche, Sommer-Eiche;1921;84;16;22;Schwarzer Weg;564367.24;5947604.90
00126;Stiel-Eiche, Sommer-Eiche;1881;120;16;17;Schwarzer Weg;564371.11;5947599.30
00128;Apfel;1976;23;7;7;Grünanlage am Feuerlöschteich Garstedt;563945.49;5947597.28
00129;Apfel;1976;25;7;7;Grünanlage am Feuerlöschteich Garstedt;563937.65;5947600.53
00130;Apfel;1976;28;7;7;Heuberg;563929.26;5947603.96
00132;Apfel;1976;27;7;7.5;Heuberg;563913.63;5947610.44
00133;Apfel;1986;20;5;6.4;Heuberg;563904.50;5947614.13
00136;Drüsiger Götterbaum;1946;92;14;20;Teichstraße;563908.46;5947640.92
00146;Stiel-Eiche, Sommer-Eiche;1906;94;16;15;Alte Dorfstraße;563950.63;5948026.79
00147;Linde;1956;51;11;9;Alte Dorfstraße;563984.04;5948043.70
00154;Gemeine Rosskastanie, Balkan-Rosskastanie;1976;46;7;8;Alte Dorfstraße;564075.07;5948010.17
00156;Gemeine Rosskastanie, Balkan-Rosskastanie;1991;30;5;7;Alte Dorfstraße;564096.90;5947996.69
00157;Gemeine Rosskastanie, Balkan-Rosskastanie;1986;36;5;9;Alte Dorfstraße;564112.50;5947986.38
00158;Gemeine Rosskastanie, Balkan-Rosskastanie;1991;28;4;6;Alte Dorfstraße;564120.71;5947980.65
00159;Gemeine Rosskastanie, Balkan-Rosskastanie;1991;25;4;5.5;Alte Dorfstraße;564128.76;5947974.62
00160;Gemeine Rosskastanie, Balkan-Rosskastanie;1991;26;4;6;Alte Dorfstraße;564137.85;5947967.61
00162;Gemeine Rosskastanie, Balkan-Rosskastanie;1986;34;7;9;Alte Dorfstraße;564153.39;5947954.98
00163;Gemeine Rosskastanie, Balkan-Rosskastanie;1986;28;4;7;Alte Dorfstraße;564164.30;5947945.71
00165;Gemeine Rosskastanie, Balkan-Rosskastanie;1986;35;6;8;Alte Dorfstraße;564179.60;5947932.61
00167;Linde;1956;49;11;16;Ochsenzoller Straße;564343.13;5948060.18
00168;Winter-Linde;1916;81;12;19;Ochsenzoller Straße;564328.64;5948049.13
00169;Linde;1931;65;4;13;Ochsenzoller Straße;564316.89;5948035.14
00170;Winter-Linde;1946;57;12;16;Ochsenzoller Straße;564306.34;5948021.67
00171;Linde;1986;26;9;13;Ochsenzoller Straße;564298.63;5948011.87
00172;Linde;1981;29;9;13;Ochsenzoller Straße;564288.58;5947999.27
00173;Linde;1931;75;14;17;Ochsenzoller Straße;564276.67;5947984.65
00174;Linde;1936;62;15;18;Ochsenzoller Straße;564266.38;5947971.64
00175;Linde;1956;50;9;15;Ochsenzoller Straße;564256.78;5947960.03
00176;Linde;1961;48;12;17;Ochsenzoller Straße;564247.91;5947935.35
00177;Winter-Linde;1936;63;14;17;Ochsenzoller Straße;564236.84;5947934.48
00182;Kirsche;1966;42;6;5;Scharpenmoor;564233.63;5947897.47
00183;Kirsche;1966;42;7;4;Scharpenmoor;564240.56;5947893.51
00185;Linde;1976;35;7;9;Niendorfer Straße;564025.45;5947390.25
00186;Winter-Linde;1916;81;14;22;Ochsenzoller Straße;564341.31;5948048.46
00187;Linde;1986;24;6;7.5;Ochsenzoller Straße;564329.96;5948037.46
00191;Linde;1976;32;7;12;Ochsenzoller Straße;564289.87;5947988.36
00192;Linde;1926;71;17;21;Ochsenzoller Straße;564277.79;5947972.63
00194;Linde;1926;73;13;19;Ochsenzoller Straße;564258.41;5947948.69
00195;Linde;1941;58;12;16;Ochsenzoller Straße;564246.83;5947947.11
00196;Winter-Linde;1916;92;16;18;Ochsenzoller Straße;564209.23;5947861.86
00197;Linde;1961;38;7;9;Ochsenzoller Straße;564198.96;5947854.74
00198;Sommer-Linde;1946;55;10;12;Ochsenzoller Straße;564186.22;5947846.89
00201;Linde;1991;20;5;7.5;Ochsenzoller Straße;564176.93;5947841.15
00203;Linde;1956;50;9;10;Ochsenzoller Straße;564137.66;5947824.45
00204;Linde;1956;5;8;10;Ochsenzoller Straße;564127.96;5947822.62
00205;Linde;1956;37;8;9;Ochsenzoller Straße;564118.01;5947820.64
00206;Linde;1956;44;10;14;Ochsenzoller Straße;564106.28;5947818.70
00207;Linde;1956;40;10;14;Ochsenzoller Straße;564097.79;5947817.17
00209;Linde;1941;58;12;17;Ochsenzoller Straße;564090.35;5947823.55
00210;Linde;1931;68;16;20;Ochsenzoller Straße;564075.31;5947821.55
00211;Linde;1986;28;7;12;Ochsenzoller Straße;564054.17;5947820.18
00212;Linde;1961;40;9;12;Ochsenzoller Straße;564086.35;5947815.52
00213;Linde;1956;49;14;18;Ochsenzoller Straße;564077.42;5947814.42
00214;Linde;1946;61;14;18;Ochsenzoller Straße;564067.43;5947813.54
00215;Linde;1971;34;8;11;Ochsenzoller Straße;564056.93;5947812.67
00216;Linde;1956;47;10;9;Ochsenzoller Straße;564048.59;5947812.69
00217;Linde;1931;70;13;17;Ochsenzoller Straße;564037.73;5947812.41
00218;Linde;1941;64;16;19;Ochsenzoller Straße;564022.64;5947812.48
00219;Linde;1941;64;12;17;Ochsenzoller Straße;564007.57;5947813.36
00220;Linde;1976;40;7;8;Niendorfer Straße;564030.02;5947377.53
00221;Linde;1926;73;15;19;Ochsenzoller Straße;563985.12;5947821.27
00222;Linde;1976;37;7;9;Niendorfer Straße;564034.67;5947364.81
00223;Winter-Linde;1931;70;14;16;Ochsenzoller Straße;564029.57;5947820.75
00224;Linde;1976;39;7;9;Niendorfer Straße;564039.27;5947352.44
00230;Säulen-Hainbuche;1981;28;6;8;Sandweg;564696.25;5947233.99
00231;Säulen-Hainbuche;1984;25;6;9;Sandweg;564717.12;5947244.89
00232;Säulen-Hainbuche;1971;35;9;11;Sandweg;564724.19;5947251.72
00233;Säulen-Hainbuche;1966;37;9;10;Sandweg;564749.15;5947275.37
00234;Säulen-Hainbuche;1966;43;9;11;Sandweg;564758.04;5947283.92
00235;Säulen-Hainbuche;1966;40;10;11;Sandweg;564768.32;5947299.76
00236;Säulen-Hainbuche;1971;36;9;11;Sandweg;564784.21;5947314.95
00237;Säulen-Hainbuche;1993;21;4;9;Sandweg;564808.66;5947332.45
00238;Säulen-Hainbuche;1976;30;5;9;Sandweg;564815.87;5947339.26
00240;Säulen-Hainbuche;1976;33;8;11;Sandweg;564838.88;5947361.16
00241;Säulen-Hainbuche;1971;33;9;11;Sandweg;564849.33;5947377.36
00242;Säulen-Hainbuche;1976;33;8;10;Sandweg;564856.52;5947384.16
00243;Säulen-Hainbuche;1981;27;7;10;Sandweg;564891.55;5947413.92
00244;Säulen-Hainbuche;1976;34;8;10;Sandweg;564897.35;5947420.05
00245;Stiel-Eiche, Sommer-Eiche;1931;69;16;17;Gottfried-Keller-Straße;564903.98;5947930.47
00247;Stiel-Eiche, Sommer-Eiche;1926;75;22;18;Gottfried-Keller-Straße;564881.62;5947957.70
00248;Stiel-Eiche, Sommer-Eiche;1936;64;10;16;Gottfried-Keller-Straße;564870.37;5947971.31
00249;Stiel-Eiche, Sommer-Eiche;1926;76;18;20;Gottfried-Keller-Straße;564866.89;5947975.36
00250;Stiel-Eiche, Sommer-Eiche;1941;58;14;19;Gottfried-Keller-Straße;564861.91;5947981.36
00251;Stiel-Eiche, Sommer-Eiche;1941;60;18;20;Gottfried-Keller-Straße;564858.95;5947985.55
00252;Stiel-Eiche, Sommer-Eiche;1926;71;15;19;Gottfried-Keller-Straße;564853.63;5947991.21
00255;Birke, Art unbekannt;1971;46;12;15;Friedrich-Hebbel-Straße;564785.09;5947974.77
00258;Birke, Art unbekannt;1976;35;8;13;Friedrich-Hebbel-Straße;564759.03;5947966.62
00259;Birke, Art unbekannt;1981;33;7;14;Friedrich-Hebbel-Straße;564752.25;5947964.49
00260;Birke, Art unbekannt;1986;25;4;8;Friedrich-Hebbel-Straße;564746.08;5947962.51
00267;Eiche;1901;95;17;19;Scharpenmoor;564690.62;5947969.95
00269;Stiel-Eiche, Sommer-Eiche;1916;84;16;20;Scharpenmoor;564737.24;5948028.56
00270;Stiel-Eiche, Sommer-Eiche;1906;92;17;18;Scharpenmoor;564746.62;5948031.35
00272;Linde;1971;38;7;9;Niendorfer Straße;564044.11;5947339.54
00273;Linde;1995;40;8;10;Niendorfer Straße;564048.80;5947326.97
00274;Linde;1995;33;6;9;Niendorfer Straße;564053.56;5947314.39
00275;Linde;1995;37;8;9;Niendorfer Straße;564058.23;5947301.70
00276;Linde;1995;35;7;10;Niendorfer Straße;564063.01;5947289.02
00277;Linde;1995;41;8;10;Niendorfer Straße;564067.85;5947276.34
00278;Linde;1995;37;7;8;Niendorfer Straße;564073.85;5947260.16
00279;Linde;1995;34;6;9;Niendorfer Straße;564078.58;5947247.44
00280;Linde;1995;41;7;10;Niendorfer Straße;564083.67;5947234.53
00281;Linde;1971;37;6;9;Niendorfer Straße;564088.39;5947221.29
00282;Linde;1976;34;5;9;Niendorfer Straße;564093.37;5947208.11
00283;Linde;1976;33;7;9;Niendorfer Straße;564098.28;5947194.87
00284;Linde;1995;28;5;8;Niendorfer Straße;564091.40;5947250.07
00285;Linde;1995;28;5;8;Niendorfer Straße;564086.57;5947262.79
00286;Linde;1995;27;5;8;Niendorfer Straße;564082.13;5947274.97
00287;Linde;1995;24;4;7;Niendorfer Straße;564054.48;5947349.00
00288;Linde;1995;31;7;8;Niendorfer Straße;564049.57;5947361.94
00289;Linde;1995;30;7;11;Niendorfer Straße;564044.03;5947377.05
00290;Linde;1995;30;7;8;Niendorfer Straße;564039.40;5947389.30
00291;Kaiser-Linde;1971;45;8;10;Niendorfer Straße;564012.58;5947426.34
00292;Kaiser-Linde;1971;44;8;10;Niendorfer Straße;564008.40;5947438.46
00293;Kaiser-Linde;1966;48;9;10;Niendorfer Straße;564004.42;5947450.38
00294;Kaiser-Linde;1971;43;8;10;Niendorfer Straße;564000.43;5947462.59
00295;Kaiser-Linde;1976;41;8;9;Niendorfer Straße;563996.41;5947475.49
00297;Linde;1981;29;7;10;Ochsenzoller Straße;564898.96;5948589.76
00298;Winter-Linde;1946;54;12;16;Ochsenzoller Straße;564886.43;5948593.01
00299;Winter-Linde;1941;58;14;16;Ochsenzoller Straße;564894.00;5948600.11
00300;Winter-Linde;1946;54;10;12;Ochsenzoller Straße;564856.00;5948597.21
00301;Winter-Linde;1976;31;8;9;Ochsenzoller Straße;564842.44;5948598.01
00302;Winter-Linde;1961;41;6;7.5;Ochsenzoller Straße;564827.66;5948598.22
00304;Winter-Linde;1936;64;11;14;Ochsenzoller Straße;564864.83;5948605.15
00317;Linde;1981;35;9;11;Achternfelde;564764.79;5948615.29
00318;Linde;1911;84;15;16;Ochsenzoller Straße;564758.45;5948570.85
00319;Linde;1936;67;12;16;Ochsenzoller Straße;564746.34;5948560.03
00320;Linde;1936;61;14;15;Ochsenzoller Straße;564733.57;5948549.90
00321;Linde;1966;40;9;13;Ochsenzoller Straße;564717.62;5948538.33
00322;Winter-Linde;1946;59;12;15;Ochsenzoller Straße;564698.18;5948526.19
00323;Winter-Linde;1926;73;14;17;Ochsenzoller Straße;564683.99;5948518.44
00324;Linde;1936;63;15;16;Ochsenzoller Straße;564667.47;5948509.34
00326;Linde;1941;57;14;15;Ochsenzoller Straße;564641.66;5948495.28
00327;Linde;1971;34;8;11;Ochsenzoller Straße;564687.25;5948530.13
00328;Linde;1966;39;8;11;Ochsenzoller Straße;564671.10;5948521.02
00329;Winter-Linde;1966;36;10;11;Ochsenzoller Straße;564657.48;5948513.74
00330;Linde;1926;72;16;18;Ochsenzoller Straße;564627.86;5948497.17
00331;Linde;1971;39;13;16;Ochsenzoller Straße;564603.61;5948480.84
00333;Linde;1941;59;14;18;Ochsenzoller Straße;564627.87;5948487.16
00334;Winter-Linde;1921;73;14;18;Ochsenzoller Straße;564614.85;5948478.36
00335;Linde;1981;25;5;8;Ochsenzoller Straße;564602.22;5948468.64
00336;Linde;1911;85;14;18;Ochsenzoller Straße;564590.01;5948457.92
00337;Winter-Linde;1941;58;12;16;Ochsenzoller Straße;564574.88;5948454.77
00338;Linde;1931;63;14;17;Ochsenzoller Straße;564566.26;5948430.78
00339;Linde;1986;26;6;11;Ochsenzoller Straße;564556.09;5948418.20
00340;Winter-Linde;1941;57;14;19;Ochsenzoller Straße;564546.19;5948405.63
00341;Linde;1971;40;9;16;Ochsenzoller Straße;564536.15;5948392.55
00342;Linde;1981;26;6;13;Ochsenzoller Straße;564526.72;5948380.28
00343;Linde;1951;51;10;13;Ochsenzoller Straße;564554.31;5948430.09
00344;Winter-Linde;1931;66;16;18;Ochsenzoller Straße;564544.71;5948417.04
00345;Linde;1971;39;12;15;Ochsenzoller Straße;564534.74;5948404.38
00346;Linde;1971;32;9;14;Ochsenzoller Straße;564524.93;5948391.81
00347;Linde;1936;67;16;22;Ochsenzoller Straße;564517.05;5948367.62
00349;Linde;1921;73;15;19;Ochsenzoller Straße;564499.12;5948342.68
00350;Linde;1951;53;9;13;Ochsenzoller Straße;564489.71;5948329.92
00351;Linde;1926;71;15;24;Ochsenzoller Straße;564515.60;5948379.34
00352;Sommer-Linde;1971;38;10;11;Ochsenzoller Straße;564504.97;5948365.49
00353;Linde;1986;28;7;9;Ochsenzoller Straße;564498.02;5948355.86
00355;Linde;1926;73;15;17;Ochsenzoller Straße;564478.57;5948328.70
00356;Winter-Linde;1926;74;14;16;Ochsenzoller Straße;564476.65;5948309.89
00357;Linde;1971;37;10;15;Ochsenzoller Straße;564459.18;5948291.26
00358;Linde;1926;73;14;17;Ochsenzoller Straße;564464.72;5948281.53
00359;Winter-Linde;1971;37;8;11;Ochsenzoller Straße;564460.93;5948266.34
00362;Winter-Linde;1911;89;16;17;Ochsenzoller Straße;564453.82;5948273.86
00364;Linde;1941;62;9;13;Ochsenzoller Straße;564449.23;5948247.44
00366;Linde;1981;25;8;14;Ochsenzoller Straße;564443.93;5948211.07
00367;Linde;1986;24;7;16;Ochsenzoller Straße;564441.21;5948193.07
00368;Linde;1941;62;14;24;Ochsenzoller Straße;564448.95;5948188.23
00369;Linde;1941;61;8;16;Ochsenzoller Straße;564453.24;5948218.60
00370;Winter-Linde;1976;34;6;10;Ochsenzoller Straße;564450.86;5948202.74
00371;Linde;1931;71;17;23;Ochsenzoller Straße;564438.91;5948179.31
00372;Linde;1916;82;17;19;Ochsenzoller Straße;564434.82;5948165.65
00373;Linde;1926;73;15;20;Ochsenzoller Straße;564439.87;5948154.94
00374;Winter-Linde;1941;56;14;19;Ochsenzoller Straße;564433.32;5948140.81
00375;Winter-Linde;1951;54;12;16;Ochsenzoller Straße;564425.47;5948126.53
00376;Linde;1961;42;9;17;Ochsenzoller Straße;564415.64;5948110.38
00377;Linde;1986;25;5;11;Ochsenzoller Straße;564428.11;5948149.53
00378;Winter-Linde;1911;85;14;21;Ochsenzoller Straße;564421.36;5948136.20
00379;Winter-Linde;1936;60;15;17;Ochsenzoller Straße;564413.04;5948121.43
00380;Winter-Linde;1931;69;15;19;Ochsenzoller Straße;564394.44;5948086.13
00381;Linde;1931;66;14;17;Ochsenzoller Straße;564380.82;5948075.29
00382;Linde;1921;71;14;16;Ochsenzoller Straße;564367.59;5948066.20
00383;Linde;1931;73;15;20;Ochsenzoller Straße;564354.27;5948057.49
00384;Linde;1951;51;7;15;Ochsenzoller Straße;564355.80;5948068.67
00385;Winter-Linde;1961;45;11;12;Ochsenzoller Straße;564368.97;5948077.35
00386;Winter-Linde;1931;66;15;19;Ochsenzoller Straße;564384.53;5948088.46
00387;Linde;1986;28;8;12;Ochsenzoller Straße;564394.67;5948098.05
00388;Winter-Linde;1926;78;16;19;Ochsenzoller Straße;564404.09;5948108.30
00389;Linde;1930;70;14;15;Friedrichsgaber Weg;563968.19;5948204.05
00392;Berg-Ahorn, Wald-Ahorn;1976;33;7;8;Kirchenstraße;564133.60;5948234.40
00393;Berg-Ahorn, Wald-Ahorn;1971;43;9;11;Kirchenstraße;564138.39;5948235.38
00395;Blut-Buche, Sämling;1921;75;16;19;Kirchenstraße;564518.71;5948297.87
00399;Baumhasel;1996;18;4;6;Schillerstraße;564854.73;5948304.31
00400;Baumhasel;1996;18;4;6;Schillerstraße;564861.00;5948307.34
00401;Gemeine Eberesche, Vogelbeerbaum, Nordirische Eberesche;1986;23;4;7;Schillerstraße;564867.37;5948310.07
00402;Baumhasel;1996;20;2;6;Schillerstraße;564888.86;5948320.42
00404;Baumhasel;1996;16;3;6;Schillerstraße;564900.57;5948326.09
00406;Linde;1911;86;12;22;Tannenhofstraße;564853.71;5948536.69
00407;Linde;1941;55;7;20;Tannenhofstraße;564842.02;5948548.60
00408;Linde;1911;87;14;20;Tannenhofstraße;564838.50;5948552.70
00414;Sand-Birke, Weiß-Birke, Warzen-Birke;1971;43;8;15;Hogenfelde;564655.75;5948568.96
00415;Sand-Birke, Weiß-Birke, Warzen-Birke;1956;65;15;19;Hogenfelde;564645.23;5948572.37
00416;Sand-Birke, Weiß-Birke, Warzen-Birke;1956;61;14;18;Hogenfelde;564636.29;5948575.73
00417;Sand-Birke, Weiß-Birke, Warzen-Birke;1961;51;11;18;Hogenfelde;564620.20;5948580.32
00418;Sand-Birke, Weiß-Birke, Warzen-Birke;1976;34;7;16;Hogenfelde;564615.36;5948581.60
00423;Sand-Birke, Weiß-Birke, Warzen-Birke;1966;43;9;16;Hogenfelde;564576.21;5948588.37
00424;Sand-Birke, Weiß-Birke, Warzen-Birke;1956;51;15;17;Hogenfelde;564565.08;5948589.04
00425;Sand-Birke, Weiß-Birke, Warzen-Birke;1956;57;14;18;Hogenfelde;564551.12;5948589.85
00426;Sand-Birke, Weiß-Birke, Warzen-Birke;1956;58;15;18;Hogenfelde;564540.42;5948590.26
00427;Moor-Birke;1976;35;7;12;Hogenfelde;564529.02;5948590.75
00428;Sand-Birke, Weiß-Birke, Warzen-Birke;1961;53;14;18;Hogenfelde;564518.01;5948591.16
00429;Sand-Birke, Weiß-Birke, Warzen-Birke;1961;53;14;18;Hogenfelde;564505.72;5948591.82
00431;Sand-Birke, Weiß-Birke, Warzen-Birke;1966;50;14;16;Hogenfelde;564483.08;5948592.99
00433;Sand-Birke, Weiß-Birke, Warzen-Birke;1961;60;16;18;Hogenfelde;564450.18;5948595.01
00434;Sand-Birke, Weiß-Birke, Warzen-Birke;1966;52;15;19;Hogenfelde;564440.75;5948595.50
00435;Sand-Birke, Weiß-Birke, Warzen-Birke;1956;62;13;18;Hogenfelde;564429.73;5948595.91
00436;Sand-Birke, Weiß-Birke, Warzen-Birke;1966;48;10;18;Hogenfelde;564420.47;5948596.22
00437;Sand-Birke, Weiß-Birke, Warzen-Birke;1961;55;14;18;Hogenfelde;564408.29;5948596.55
00440;Sand-Birke, Weiß-Birke, Warzen-Birke;1966;55;12;17;Hogenfelde;564377.70;5948596.74
00441;Sand-Birke, Weiß-Birke, Warzen-Birke;2011;11;2;8;Hogenfelde;564368.06;5948596.39
00442;Sand-Birke, Weiß-Birke, Warzen-Birke;1956;64;15;19;Hogenfelde;564356.62;5948596.04
00443;Sand-Birke, Weiß-Birke, Warzen-Birke;1971;43;11;15;Hogenfelde;564343.35;5948595.05
00445;Sand-Birke, Weiß-Birke, Warzen-Birke;1966;50;15;17;Hogenfelde;564310.14;5948591.15
00446;Sand-Birke, Weiß-Birke, Warzen-Birke;1966;47;11;17;Hogenfelde;564295.53;5948589.05
00448;Eingriffliger Weißdorn;1981;18;3;5;Hogenfelde;564224.20;5948608.10
